,team,Individual,back,ICT,Goodness,cluster
0,48,12,0,1,2,0
1,24,8,1,2,2,0
2,0,24,1,2,1,1
3,0,36,1,3,1,1
4,44,12,0,2,2,0
5,36,4,1,1,2,0
6,0,40,0,2,3,2
7,44,0,0,3,2,0
8,44,0,1,2,2,0
9,36,24,1,2,1,1
10,60,20,0,2,2,0
11,64,0,1,2,2,0
12,0,44,0,1,3,2
13,0,16,0,3,2,0
14,40,0,1,3,2,0
15,60,0,1,2,2,0
16,40,16,1,3,1,1
17,48,12,0,1,2,0
18,60,20,0,2,2,0
19,40,40,1,3,1,1
20,20,28,1,2,1,1
21,40,20,1,2,2,0
22,0,15,1,1,3,2
23,0,50,1,2,1,1
24,0,65,1,2,1,1
25,0,65,1,1,3,2
26,15,15,1,3,1,1
27,0,60,0,1,3,2
28,15,45,0,1,3,2
29,0,55,0,1,3,2
30,20,25,0,2,2,0
31,15,50,1,1,3,2
32,0,35,1,3,1,1
33,0,65,1,3,1,1
34,20,60,1,3,1,1
35,25,55,1,1,3,2
36,25,50,1,2,1,1
37,25,40,0,2,2,0
38,0,60,0,1,3,2
39,0,50,1,2,1,1
40,20,25,0,2,2,0
41,20,30,0,1,3,2
